Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,9.8,6.2,8.1,217.0
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,9.8,6.2,8.1,217.0
AUDI,A8 TDI (modified),MID-SIZE,3.0,6.0,AS8,9.8,6.5,8.4,224.0
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6.0,AS8,9.8,6.5,8.4,224.0
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6.0,AS8,10.2,7.8,9.0,244.0
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6.0,AS8,12.4,8.7,10.7,290.0
BMW,328d xDRIVE,COMPACT,2.0,4.0,A8,7.6,5.5,6.7,181.0
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,A8,7.6,5.5,6.7,181.0
BMW,535d xDRIVE,MID-SIZE,3.0,6.0,A8,9.2,6.4,7.9,213.0
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4.0,AS6,8.7,5.1,7.1,192.0
JEEP,GRAND CHEROKEE 4X4 DIESEL,SUV - STANDARD,3.0,6.0,A8,11.2,8.4,9.9,267.0
MERCEDES-BENZ,E 250 BLUETEC 4MATIC,MID-SIZE,2.1,4.0,AS7,8.5,5.7,7.2,194.0
MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,SUV - STANDARD,3.0,6.0,AS7,13.4,10.2,12.0,324.0
MERCEDES-BENZ,GLK 250 BLUETEC 4MATIC,SUV - SMALL,2.1,4.0,AS7,9.6,7.1,8.5,230.0
MERCEDES-BENZ,ML 350 BLUETEC 4MATIC,SUV - STANDARD,3.0,6.0,AS7,11.8,8.5,10.3,278.0
PORSCHE,CAYENNE DIESEL (modified),SUV - STANDARD,3.0,6.0,A8,11.8,8.1,10.2,277.0
RAM,1500 4X4 DIESEL,PICKUP TRUCK - STANDARD,3.0,6.0,A8,12.1,8.8,10.6,286.0
