Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
BUICK,LACROSSE,MID-SIZE,3.6,6.0,AS6,18.4,12.2,15.6,250.0
BUICK,LACROSSE AWD,MID-SIZE,3.6,6.0,AS6,19.4,13.0,16.5,264.0
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8.0,A6,23.3,16.1,20.1,322.0
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8.0,A6,25.7,17.8,22.1,354.0
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6.0,A6,18.8,13.1,16.2,259.0
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6.0,A6,19.8,13.6,17.0,272.0
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8.0,A4,23.5,17.7,20.9,334.0
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8.0,A4,23.7,18.8,21.5,344.0
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8.0,A4,23.9,18.5,21.5,344.0
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8.0,A4,25.3,19.3,22.6,362.0
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8.0,A4,23.9,18.5,21.5,344.0
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8.0,A4,25.3,19.3,22.6,362.0
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,30.0,20.4,25.7,411.0
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,30.2,20.5,25.8,413.0
CHEVROLET,IMPALA,FULL-SIZE,3.6,6.0,AS6,16.7,11.3,14.3,229.0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6.0,A6,18.9,14.2,16.8,269.0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8.0,A6,19.5,13.7,16.9,270.0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6.0,A6,20.0,15.1,17.8,285.0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,19.9,14.2,17.3,277.0
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8.0,A6,21.5,14.6,18.4,294.0
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8.0,A6,21.5,14.6,18.4,294.0
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8.0,A6,21.5,14.6,18.4,294.0
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8.0,A6,21.5,14.6,18.4,294.0
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6.0,A6,17.0,11.2,14.4,230.0
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6.0,A6,17.0,11.2,14.4,230.0
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6.0,A8,17.3,11.7,14.8,237.0
CHRYSLER,300 FFV,FULL-SIZE,3.6,6.0,A8,16.8,10.3,13.9,222.0
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6.0,A6,19.7,13.3,16.8,269.0
DODGE,AVENGER FFV,MID-SIZE,3.6,6.0,A6,17.0,11.2,14.4,230.0
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6.0,A8,17.3,11.7,14.8,237.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A5,18.3,12.6,15.7,251.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A8,16.8,10.3,13.9,222.0
DODGE,DART FFV,MID-SIZE,2.0,4.0,A6,14.2,9.8,12.2,195.0
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6.0,A8,17.7,13.0,15.6,250.0
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6.0,A6,19.2,13.1,16.5,264.0
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6.0,A6,18.9,12.9,16.2,259.0
FORD,E150 VAN FFV,VAN - CARGO,4.6,8.0,A4,24.1,19.2,21.9,350.0
FORD,E150 VAN FFV,VAN - CARGO,5.4,8.0,A4,24.9,19.6,22.5,360.0
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8.0,A4,25.5,20.0,23.0,368.0
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8.0,A4,26.7,20.5,23.9,382.0
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8.0,A6,24.5,18.0,21.6,346.0
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6.0,AS6,18.3,12.9,15.9,254.0
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6.0,AS6,18.9,13.9,16.7,267.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6.0,A6,18.8,13.7,16.5,264.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6.0,AS6,18.8,13.7,16.5,264.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,A6,22.1,16.7,19.7,315.0
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,22.1,16.7,19.7,315.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6.0,A6,20.2,15.3,18.0,288.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6.0,AS6,20.2,15.3,18.0,288.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,A6,22.4,17.0,20.0,320.0
