Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,0.6334684555795864,1.2986580151756753,A4,X,1.2329961103921538,1.1038037209559568,1.1789769472931697,2.5403294747908736
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,0.7242758696007889,1.3000676416768184,A4,X,1.2552725051033058,1.1271047983648077,1.2013971243204515,2.56348108539441
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,0.7242758696007889,1.3000676416768184,A4,X,1.2624510897304295,1.1522883443830565,1.217483944213906,2.57978359661681
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,0.7242758696007889,1.3000676416768184,A4,X,1.2695129442179165,1.143014800254095,1.217483944213906,2.57978359661681
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,0.7242758696007889,1.3000676416768184,A4,X,1.2624510897304295,1.1522883443830565,1.217483944213906,2.57978359661681
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,0.7242758696007889,1.3000676416768184,A4,X,1.2695129442179165,1.143014800254095,1.217483944213906,2.57978359661681
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,0.7242758696007889,1.3000676416768184,A4,X,1.2624510897304295,1.1522883443830565,1.217483944213906,2.57978359661681
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,0.6812412373755872,1.3000676416768184,A6,X,1.3242824552976926,1.1522883443830565,1.2552725051033058,2.617000341120898
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,0.7781512503836435,1.3000676416768184,A6,X,1.3404441148401185,1.1760912590556811,1.2741578492636798,2.635483746814912
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,0.6812412373755872,1.3000676416768184,A6,X,1.3283796034387376,1.1553360374650616,1.260071387985075,2.622214022966295
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,0.7781512503836435,1.3000676416768184,A6,X,1.3443922736851106,1.1760912590556811,1.276461804173244,2.638489256954637
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,0.6334684555795864,1.2986580151756753,A6,X,1.1271047983648077,0.99563519459755,1.0718820073061253,2.4329692908744054
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,0.7242758696007889,1.3000676416768184,A6,X,1.1643528557844371,1.012837224705172,1.1038037209559568,2.465382851448418
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,0.7923916894982539,1.3000676416768184,A6,Z,1.212187604403958,1.0569048513364725,1.1492191126553797,2.510545010206612
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,0.6334684555795864,1.2986580151756753,A6,X,1.1522883443830565,1.0253058652647702,1.1003705451175627,2.462397997898956
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,0.7242758696007889,1.3000676416768184,A6,X,1.1731862684122738,1.0253058652647702,1.1139433523068367,2.4756711883244296
