Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km),Engine Power
ACURA,ILX,COMPACT,0.3010299956639811,1.2962183778481056,AS5,Z,0.99563519459755,0.8260748027008264,0.9294189257142926,2.2922560713564755,0.36265983423447884
ACURA,ILX,COMPACT,0.380211241711606,1.2962183778481056,M6,Z,1.0492180226701815,0.8864907251724818,0.9822712330395684,2.34439227368511,0.4840994102125494
ACURA,ILX HYBRID,COMPACT,0.1760912590556812,1.2962183778481056,AV7,Z,0.7781512503836435,0.7634279935629372,0.7708520116421441,2.133538908370217,0.17594907312816183
ACURA,MDX 4WD,SUV - SMALL,0.5440680443502756,1.2986580151756753,AS6,Z,1.1038037209559568,0.9590413923210936,1.0453229787866574,2.4065401804339546,0.7385816546443067
ACURA,RDX AWD,SUV - SMALL,0.5440680443502756,1.2986580151756753,AS6,Z,1.08278537031645,0.9395192526186184,1.0253058652647702,2.387389826338729,0.7244383964109912
ACURA,RLX,MID-SIZE,0.5440680443502756,1.2986580151756753,AS6,Z,1.0755469613925306,0.8864907251724818,1.0,2.3617278360175926,0.7065583265964401
ACURA,TL,MID-SIZE,0.5440680443502756,1.2986580151756753,AS6,Z,1.0718820073061253,0.9084850188786496,1.0043213737826424,2.3654879848908994,0.7096116292249017
ACURA,TL AWD,MID-SIZE,0.568201724066995,1.2986580151756753,AS6,Z,1.1072099696478683,0.9542425094393248,1.0453229787866574,2.4065401804339546,0.771343536697344
ACURA,TL AWD,MID-SIZE,0.568201724066995,1.2986580151756753,M6,Z,1.1271047983648077,0.9777236052888476,1.0644579892269184,2.426511261364575,0.7854632556045698
ACURA,TSX,COMPACT,0.380211241711606,1.2962183778481056,AS5,Z,1.0253058652647702,0.8750612633916999,0.9637878273455552,2.326335860928751,0.474990107716229
ACURA,TSX,COMPACT,0.380211241711606,1.2962183778481056,M6,Z,1.0492180226701815,0.9084850188786496,0.9912260756924948,2.3521825181113623,0.4885126862009069
ACURA,TSX,COMPACT,0.5440680443502756,1.2986580151756753,AS5,Z,1.08278537031645,0.919078092376074,1.0170333392987805,2.378397900948137,0.7185933743077358
ALFA ROMEO,4C,TWO-SEATER,0.255272505103306,1.2962183778481056,AM6,Z,0.9867717342662446,0.8388490907372552,0.9242792860618816,2.285557309007773,0.30583376778747334
ASTON MARTIN,DB9,MINICOMPACT,0.7708520116421441,1.3017480372878634,A6,Z,1.2552725051033058,1.1003705451175627,1.1931245983544614,2.555094448578319,1.1972469550345006
ASTON MARTIN,RAPIDE,SUBCOMPACT,0.7708520116421441,1.3017480372878634,A6,Z,1.2552725051033058,1.1003705451175627,1.1931245983544614,2.555094448578319,1.1972469550345006
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,0.6720978579357174,1.3000676416768184,AM7,Z,1.2405492482825995,1.0530784434834195,1.167317334748176,2.5289167002776547,1.019969992657796
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,0.6720978579357174,1.3000676416768184,M6,Z,1.2576785748691843,1.0863598306747482,1.187520720836463,2.549003262025788,1.0376231594075027
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,0.6720978579357174,1.3000676416768184,AM7,Z,1.2405492482825995,1.0530784434834195,1.167317334748176,2.5289167002776547,1.019969992657796
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,0.6720978579357174,1.3000676416768184,M6,Z,1.2576785748691843,1.0863598306747482,1.187520720836463,2.549003262025788,1.0376231594075027
ASTON MARTIN,VANQUISH,MINICOMPACT,0.7708520116421441,1.3017480372878634,A6,Z,1.2552725051033058,1.1003705451175627,1.1931245983544614,2.555094448578319,1.1972469550345006
AUDI,A4,COMPACT,0.3010299956639811,1.2962183778481056,AV8,Z,0.99563519459755,0.8692317197309762,0.9444826721501686,2.305351369446624,0.3685377173227605
AUDI,A4 QUATTRO,COMPACT,0.3010299956639811,1.2962183778481056,AS8,Z,1.0606978403536116,0.9084850188786496,1.0,2.3617278360175926,0.39020061266318784
AUDI,A4 QUATTRO,COMPACT,0.3010299956639811,1.2962183778481056,M6,Z,1.0334237554869496,0.8750612633916999,0.9684829485539352,2.3304137733491905,0.37790263987959616
