Make,Model,Vehicle Class,Transmission,Power produce,CO2 Emissions(g/km)
ACURA,ILX,COMPACT,AS5,0.6877217322806135,2.2922560713564755
ACURA,ILX,COMPACT,M6,0.7727719890339111,2.34439227368511
ACURA,ILX HYBRID,COMPACT,AV7,0.5243250245206953,2.133538908370217
ACURA,MDX 4WD,SUV - SMALL,AS6,0.9307829737011933,2.4065401804339546
ACURA,RDX AWD,SUV - SMALL,AS6,0.9230081957419304,2.387389826338729
ACURA,RLX,MID-SIZE,AS6,0.9131792319762262,2.3617278360175926
ACURA,TL,MID-SIZE,AS6,0.9148576818487459,2.3654879848908994
ACURA,TL AWD,MID-SIZE,AS6,0.9504486793946301,2.4065401804339546
ACURA,TL AWD,MID-SIZE,M6,0.9578808427411855,2.426511261364575
ACURA,TSX,COMPACT,AS5,0.7655929132373531,2.326335860928751
ACURA,TSX,COMPACT,M6,0.7762501085545159,2.3521825181113623
ACURA,TSX,COMPACT,AS5,0.9197950924901812,2.378397900948137
ALFA ROMEO,4C,TWO-SEATER,AM6,0.6484392570347649,2.285557309007773
ASTON MARTIN,DB9,MINICOMPACT,A6,1.172988546822567,2.555094448578319
ASTON MARTIN,RAPIDE,SUBCOMPACT,A6,1.172988546822567,2.555094448578319
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,AM7,1.082493472755294,2.5289167002776547
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,M6,1.0903406001990157,2.549003262025788
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,AM7,1.082493472755294,2.5289167002776547
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,M6,1.0903406001990157,2.549003262025788
ASTON MARTIN,VANQUISH,MINICOMPACT,A6,1.172988546822567,2.555094448578319
AUDI,A4,COMPACT,AV8,0.6935725900301843,2.305351369446624
AUDI,A4 QUATTRO,COMPACT,AS8,0.7151358836814938,2.3617278360175926
AUDI,A4 QUATTRO,COMPACT,M6,0.7028944545335852,2.3304137733491905
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,AS8,0.7151358836814938,2.3617278360175926
AUDI,A5 QUATTRO,SUBCOMPACT,AS8,0.7151358836814938,2.3617278360175926
AUDI,A5 QUATTRO,SUBCOMPACT,M6,0.7028944545335852,2.3304137733491905
AUDI,A6 QUATTRO,MID-SIZE,AS8,0.7184762467057291,2.371067862271736
AUDI,A6 QUATTRO,MID-SIZE,AS8,0.87316329212901,2.399673721481037
AUDI,A7 QUATTRO,MID-SIZE,AS8,0.8777431975421073,2.418301291319745
AUDI,A8,MID-SIZE,AS8,0.8777431975421073,2.41161970596323
AUDI,A8,MID-SIZE,AS8,0.9810508903384507,2.4232458739368075
AUDI,A8L,FULL-SIZE,AS8,0.8777431975421073,2.41161970596323
AUDI,A8L,FULL-SIZE,AS8,0.9980753589406514,2.4593924877592306
AUDI,A8L,FULL-SIZE,AS8,1.1951180959039698,2.559906625036112
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,AS8,0.7233659461828157,2.383815365980431
AUDI,Q5,SUV - SMALL,AS8,0.7217517441954487,2.378397900948137
AUDI,Q5,SUV - SMALL,AS8,0.8777431975421073,2.41161970596323
AUDI,Q5 HYBRID,SUV - SMALL,AS8,0.7010708387136986,2.326335860928751
AUDI,Q7,SUV - STANDARD,AS8,0.9054582996391052,2.482873583608753
AUDI,R8,TWO-SEATER,A7,1.0415370318304884,2.526339277389844
AUDI,R8,TWO-SEATER,M6,1.0740157468255642,2.6095944092252195
AUDI,R8 SPYDER,TWO-SEATER,A7,1.0415370318304884,2.526339277389844
AUDI,R8 SPYDER,TWO-SEATER,M6,1.0740157468255642,2.6095944092252195
AUDI,RS 5,SUBCOMPACT,A7,1.0258060948029786,2.48572142648158
AUDI,RS 5 CABRIOLET,SUBCOMPACT,A7,1.0270696424371648,2.488550716500444
AUDI,RS 7,MID-SIZE,AS8,0.9980753589406514,2.4668676203541096
AUDI,S4,COMPACT,A7,0.880728812127645,2.418301291319745
AUDI,S4,COMPACT,M6,0.8949121894892298,2.45484486000851
AUDI,S5,SUBCOMPACT,A7,0.880728812127645,2.418301291319745
AUDI,S5,SUBCOMPACT,M6,0.8949121894892298,2.45484486000851
AUDI,S5 CABRIOLET,SUBCOMPACT,A7,0.8836625003404686,2.426511261364575
AUDI,S6,MID-SIZE,A7,0.9939775990422762,2.44870631990508
